PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36086945","Temporary biventricular mechanical circulatory support utilizing a simple left ventricular apical cannulation technique","Nair L, Senanayake E, Thomson B.","J Card Surg. 2022 Nov;37(11):3967-3972. doi: 10.1111/jocs.16921. Epub 2022 Sep 10.","Nair L","J Card Surg","2022","2022/09/10","","","10.1111/jocs.16921"
"35414263","Palliative Care in Heart Failure: An Integrative Review of Nurse Practice","Nunciaroni AT, Neves IF, Marques CSG, Santos ND, Corrêa VFA, Silva RFA.","Am J Hosp Palliat Care. 2023 Jan;40(1):96-105. doi: 10.1177/10499091221085276. Epub 2022 Apr 13.","Nunciaroni AT","Am J Hosp Palliat Care","2023","2022/04/13","","","10.1177/10499091221085276"
"36378911","Myocardial recovery in a patient with dilated cardiomyopathy after short-term biventricular assist device support","Alotaibi K, Bakhsh A, Alkhaf F, Amro A, Albarrak M, Tantawy T, Arafat AA, Adam AI.","J Card Surg. 2022 Dec;37(12):5591-5594. doi: 10.1111/jocs.17148. Epub 2022 Nov 15.","Alotaibi K","J Card Surg","2022","2022/11/15","","","10.1111/jocs.17148"
"36583980","Effectiveness and safety of angiotensin receptor-neprilysin inhibitor and sodium-glucose cotransporter-2 inhibitors for patients with heart failure with reduced ejection fraction: a meta-analysis","Huang Y, Fang C, Zhang Y, Ma L, Zhou H, Ye H.","J Cardiovasc Med (Hagerstown). 2023 Feb 1;24(2):123-131. doi: 10.2459/JCM.0000000000001426.","Huang Y","J Cardiovasc Med (Hagerstown)","2023","2022/12/30","","","10.2459/JCM.0000000000001426"
"35989416","Fear of movement and its associated psychosocial factors in heart failure patients: a cross-sectional study","Zhang X, Zhao Q, Wang M, Yang M, Fan X.","Eur J Cardiovasc Nurs. 2023 Apr 12;22(3):273-281. doi: 10.1093/eurjcn/zvac075.","Zhang X","Eur J Cardiovasc Nurs","2023","2022/08/21","","","10.1093/eurjcn/zvac075"
"36503256","Direct Reprogramming Improves Cardiac Function and Reverses Fibrosis in Chronic Myocardial Infarction","Tani H, Sadahiro T, Yamada Y, Isomi M, Yamakawa H, Fujita R, Abe Y, Akiyama T, Nakano K, Kuze Y, Seki M, Suzuki Y, Fujisawa M, Sakata-Yanagimoto M, Chiba S, Fukuda K, Ieda M.","Circulation. 2023 Jan 17;147(3):223-238. doi: 10.1161/CIRCULATIONAHA.121.058655. Epub 2022 Dec 12.","Tani H","Circulation","2023","2022/12/12","","","10.1161/CIRCULATIONAHA.121.058655"
"37115135","Guideline-Directed Medical Therapy Tolerability in Patients With Heart Failure and Mitral Regurgitation: The COAPT Trial","Cox ZL, Zalawadiya SK, Simonato M, Redfors B, Zhou Z, Kotinkaduwa L, Zile MR, Udelson JE, Lim DS, Grayburn PA, Mack MJ, Abraham WT, Stone GW, Lindenfeld J.","JACC Heart Fail. 2023 Jul;11(7):791-805. doi: 10.1016/j.jchf.2023.03.009. Epub 2023 Apr 26.","Cox ZL","JACC Heart Fail","2023","2023/04/28","","","10.1016/j.jchf.2023.03.009"
"36547014","Sex-related differences in left ventricular assist device utilization and outcomes: results from the PCHF-VAD registry","Radhoe SP, Jakus N, Veenis JF, Timmermans P, Pouleur AC, Rubís P, Van Craenenbroeck EM, Gaizauskas E, Barge-Caballero E, Paolillo S, Grundmann S, D'Amario D, Braun OÖ, Gkouziouta A, Planinc I, Macek JL, Meyns B, Droogne W, Wierzbicki K, Holcman K, Flammer AJ, Gasparovic H, Biocina B, Milicic D, Lund LH, Ruschitzka F, Brugts JJ, Cikes M.","ESC Heart Fail. 2023 Apr;10(2):1054-1065. doi: 10.1002/ehf2.14261. Epub 2022 Dec 22.","Radhoe SP","ESC Heart Fail","2023","2022/12/22","PMC10053365","","10.1002/ehf2.14261"
"36924023","Rationale and design of the Biventricular Evaluation of Gliflozins effects In chroNic Heart Failure: BEGIN-HF study","Correale M, Antohi EL, Inciardi RM, Mazzeo P, Coiro S, Ishihara S, Petroni R, Monitillo F, Leone M, Triggiani M, Sarwar CMS, Dungen HD, Talha KM, Brunetti ND, Butler J, Nodari S; Master Program Group on Drug Development for Heart Failure.","ESC Heart Fail. 2023 Jun;10(3):2066-2073. doi: 10.1002/ehf2.14331. Epub 2023 Mar 15.","Correale M","ESC Heart Fail","2023","2023/03/16","PMC10192273","","10.1002/ehf2.14331"
"37076098","Increased serum albumin corrected anion gap levels are associated with increased incidence of new-onset HF and poor prognosis in patients with acute myocardial infarction","Zhao B, Li Y, Lang X, Fang S, Li Z, Li L, Xing L, Zhang Y.","Clin Chim Acta. 2023 Apr 1;544:117354. doi: 10.1016/j.cca.2023.117354. Epub 2023 Apr 17.","Zhao B","Clin Chim Acta","2023","2023/04/19","","","10.1016/j.cca.2023.117354"
"36733284","Association between the risk of heart failure hospitalization and end-stage renal disease with digoxin usage in patients with cardiorenal syndrome: A population-based study","Chang KT, Kuo HF, Chang YH, Wang YT, Yang LJ, Niu SW, Kuo IC, Chen Y, Wen ZH, Hung CC, Chang JM, Lin HY.","Front Public Health. 2023 Jan 17;10:1074017. doi: 10.3389/fpubh.2022.1074017. eCollection 2022.","Chang KT","Front Public Health","2023","2023/02/03","PMC9886869","","10.3389/fpubh.2022.1074017"
"35930273","Impact of Prediabetes on Cardiac Function Among Primary Care Patients","Ghany R, Tamariz L, Chen G, Dawkins E, Forbes E, Tajiri T, Palacio A.","Metab Syndr Relat Disord. 2023 Aug;21(6):314-318. doi: 10.1089/met.2021.0006. Epub 2022 Aug 5.","Ghany R","Metab Syndr Relat Disord","2023","2022/08/05","","","10.1089/met.2021.0006"
"36902332","In Search of the Holy Grail: Stem Cell Therapy as a Novel Treatment of Heart Failure with Preserved Ejection Fraction","Domaszk O, Skwarek A, Wojciechowska M.","Int J Mol Sci. 2023 Mar 3;24(5):4903. doi: 10.3390/ijms24054903.","Domaszk O","Int J Mol Sci","2023","2023/03/11","PMC10003723","","10.3390/ijms24054903"
"36644849","Cost-effectiveness of immediate initiation of dapagliflozin in patients with a history of heart failure","Miller RJH, Chew DS, Qin L, Fine NM, Chen J, McMurray JJV, Howlett JG, McEwan P.","Eur J Heart Fail. 2023 Feb;25(2):238-247. doi: 10.1002/ejhf.2777.","Miller RJH","Eur J Heart Fail","2023","2023/01/16","","","10.1002/ejhf.2777"
"37328671","Independent Association Between Use of Proton Pump Inhibitors and Muscle Wasting in Patients with Heart Failure: A Single-Center, Ambispective, Observational Study","Ohori K, Yano T, Katano S, Nagaoka R, Numazawa R, Yamano K, Fujisawa Y, Kouzu H, Koyama M, Nagano N, Fujito T, Nishikawa R, Ohwada W, Furuhashi M.","Drugs Aging. 2023 Aug;40(8):731-739. doi: 10.1007/s40266-023-01035-3. Epub 2023 Jun 16.","Ohori K","Drugs Aging","2023","2023/06/16","","","10.1007/s40266-023-01035-3"
"37016775","Comparison of cardiocerebrovascular disease incidence between angiotensin converting enzyme inhibitor and angiotensin receptor blocker users in a real-world cohort","Lee S, Kim H, Woo Yim H, Hun-Sung K, Han Kim J.","J Appl Biomed. 2023 Apr;21(1):7-14. doi: 10.32725/jab.2023.002. Epub 2023 Mar 27.","Lee S","J Appl Biomed","2023","2023/04/05","","","10.32725/jab.2023.002"
"35801340","Predicting incident heart failure among patients with type 2 diabetes mellitus: The DM-CURE risk score","Lin Y, Shao H, Shi L, Anderson AH, Fonseca V.","Diabetes Obes Metab. 2022 Nov;24(11):2203-2211. doi: 10.1111/dom.14806. Epub 2022 Aug 8.","Lin Y","Diabetes Obes Metab","2022","2022/07/08","PMC10201412","NIHMS1893812","10.1111/dom.14806"
"36073202","Cumulative complexity: a qualitative analysis of patients' experiences of living with heart failure with preserved ejection fraction","Forsyth F, Blakeman T, Burt J, Chew-Graham CA, Hossain M, Mant J, Sharpley J, Sowden E, Deaton C.","Eur J Cardiovasc Nurs. 2023 Jul 19;22(5):529-536. doi: 10.1093/eurjcn/zvac081.","Forsyth F","Eur J Cardiovasc Nurs","2023","2022/09/08","","","10.1093/eurjcn/zvac081"
"37162633","Left atrium decompression devices across the spectrum of ejection fraction in heart failure: an updated systematic review and meta-regression analysis","Basile C, Paolillo S, Gargiulo P, Marzano F, Dellegrottaglie S, Abbate V, Ambrosio A, Carbone F, Dell'Aversana S, Esposito I, Fierro MF, Perrone-Filardi P.","Heart Fail Rev. 2023 Sep;28(5):1151-1161. doi: 10.1007/s10741-023-10317-2. Epub 2023 May 10.","Basile C","Heart Fail Rev","2023","2023/05/10","PMC10403397","","10.1007/s10741-023-10317-2"
"37183700","Effects of Atrioventricular Optimization on Left Ventricular Reverse Remodeling With Cardiac Resynchronization Therapy: Results of the SMART-CRT Trial","Gold MR, Ellenbogen KA, Leclercq C, Lowy J, Rials SJ, Shoda M, Tomassoni G, Issa Z, Sarrazin JF, Jennings JM, Nair DG, Wold N, Yong P, Harbin MM, Stein KM, Auricchio A.","Circ Arrhythm Electrophysiol. 2023 Jun;16(6):e011714. doi: 10.1161/CIRCEP.122.011714. Epub 2023 May 15.","Gold MR","Circ Arrhythm Electrophysiol","2023","2023/05/15","","","10.1161/CIRCEP.122.011714"
"37423398","Expression profiles and potential functions of microRNAs in heart failure patients from the Uyghur population","Peng X, Zhang K, Yang Z, Jiang L, Nie X, Zuo H, Wang L.","Gene. 2023 Sep 25;881:147623. doi: 10.1016/j.gene.2023.147623. Epub 2023 Jul 7.","Peng X","Gene","2023","2023/07/09","","","10.1016/j.gene.2023.147623"
"35918062","Epidemiology, outcomes and predictors of mortality in patients transported by ambulance for dyspnoea: A population-based cohort study","Zhou J, Nehme E, Dawson L, Bloom J, Nehme Z, Okyere D, Cox S, Anderson D, Stephenson M, Smith K, Kaye DM, Stub D.","Emerg Med Australas. 2023 Feb;35(1):48-55. doi: 10.1111/1742-6723.14053. Epub 2022 Aug 2.","Zhou J","Emerg Med Australas","2023","2022/08/02","","","10.1111/1742-6723.14053"
"36229366","A retrospective chart review evaluating pre-operative dental extractions on patients with end-stage heart failure undergoing advanced surgical cardiac therapies","Mincer RC, Zahr RH, Chung EM, Kubak B, Sung EC.","Oral Surg Oral Med Oral Pathol Oral Radiol. 2022 Dec;134(6):702-707. doi: 10.1016/j.oooo.2022.05.016. Epub 2022 Jun 6.","Mincer RC","Oral Surg Oral Med Oral Pathol Oral Radiol","2022","2022/10/13","","","10.1016/j.oooo.2022.05.016"
"35660475","Stimulation of the mitochondrial calcium uniporter mitigates chronic heart failure-associated ventricular arrhythmia in mice","Hagiwara H, Watanabe M, Fujioka Y, Kadosaka T, Koizumi T, Koya T, Nakao M, Kamada R, Temma T, Okada K, Moreno JA, Kwon O, Sabe H, Ohba Y, Anzai T.","Heart Rhythm. 2022 Oct;19(10):1725-1735. doi: 10.1016/j.hrthm.2022.05.034. Epub 2022 May 31.","Hagiwara H","Heart Rhythm","2022","2022/06/06","","","10.1016/j.hrthm.2022.05.034"
"35796239","Reduction of heart failure guideline-directed medication during hospitalization: prevalence, risk factors, and outcomes","Palin V, Drozd M, Garland E, Malik A, Straw S, McGinlay M, Simms A, Gatenby VK, Sengupta A, Levelt E, Witte KK, Kearney MT, Cubbon RM.","ESC Heart Fail. 2022 Oct;9(5):3298-3307. doi: 10.1002/ehf2.14051. Epub 2022 Jul 7.","Palin V","ESC Heart Fail","2022","2022/07/07","PMC9715809","","10.1002/ehf2.14051"
"36107025","Assessment of electrical dyssynchrony in cardiac resynchronization therapy: 12-lead electrocardiogram vs. 96-lead body surface map","Sedova KA, van Dam PM, Sbrollini A, Burattini L, Necasova L, Blahova M, Bocek J, Sramko M, Kautzner J.","Europace. 2023 Feb 16;25(2):554-560. doi: 10.1093/europace/euac159.","Sedova KA","Europace","2023","2022/09/15","PMC10103567","","10.1093/europace/euac159"
"37468296","Dapagliflozin in the treatment of heart failure with preserved ejection fraction","Švarcová T.","Vnitr Lek. 2023 Summer;69(4):261-264. doi: 10.36290/vnl.2023.049.","Švarcová T","Vnitr Lek","2023","2023/07/19","","","10.36290/vnl.2023.049"
"36871480","Acute rate control with metoprolol versus diltiazem in atrial fibrillation with heart failure with reduced ejection fraction","Kapustova K, Phan B, Allison-Aipa T, Choi M.","Am J Emerg Med. 2023 May;67:126-129. doi: 10.1016/j.ajem.2023.02.019. Epub 2023 Feb 21.","Kapustova K","Am J Emerg Med","2023","2023/03/05","","","10.1016/j.ajem.2023.02.019"
"36039656","Congestion in heart failure: a circulating biomarker-based perspective. A review from the Biomarkers Working Group of the Heart Failure Association, European Society of Cardiology","Núñez J, de la Espriella R, Rossignol P, Voors AA, Mullens W, Metra M, Chioncel O, Januzzi JL, Mueller C, Richards AM, de Boer RA, Thum T, Arfsten H, González A, Abdelhamid M, Adamopoulos S, Anker SD, Gal TB, Biegus J, Cohen-Solal A, Böhm M, Emdin M, Jankowska EA, Gustafsson F, Hill L, Jaarsma T, Jhund PS, Lopatin Y, Lund LH, Milicic D, Moura B, Piepoli MF, Ponikowski P, Rakisheva A, Ristic A, Savarese G, Tocchetti CG, Van Linthout S, Volterrani M, Seferovic P, Rosano G, Coats AJS, Bayes-Genis A.","Eur J Heart Fail. 2022 Oct;24(10):1751-1766. doi: 10.1002/ejhf.2664. Epub 2022 Sep 7.","Núñez J","Eur J Heart Fail","2022","2022/08/30","","","10.1002/ejhf.2664"
"35789418","Efficacy of Doppler echocardiography-guided ivabradine therapy","Izumida T, Imamura T, Kinugawa K.","Heart Vessels. 2023 Jan;38(1):49-55. doi: 10.1007/s00380-022-02127-7. Epub 2022 Jul 5.","Izumida T","Heart Vessels","2023","2022/07/05","","","10.1007/s00380-022-02127-7"
"35947813","Development and Validation of Risk Prediction Models for Coronary Heart Disease and Heart Failure After Treatment for Hodgkin Lymphoma","de Vries S, Haaksma ML, Jóźwiak K, Schaapveld M, Hodgson DC, Lugtenburg PJ, Krol ADG, Petersen EJ, van Spronsen DJ, Ahmed S, Hauptmann M, Aleman BMP, van Leeuwen FE.","J Clin Oncol. 2023 Jan 1;41(1):86-95. doi: 10.1200/JCO.21.02613. Epub 2022 Aug 10.","de Vries S","J Clin Oncol","2023","2022/08/10","","","10.1200/JCO.21.02613"
"35691479","Heart to Heart Discussions: Characterizing Goals of Care Conversations for Advanced Heart Failure Patients Initiating Palliative Inotropes","Kruithoff M, Sawyer D, Egorova D, Hutchinson RN.","J Card Fail. 2022 Oct;28(10):1568-1571. doi: 10.1016/j.cardfail.2022.05.016. Epub 2022 Jun 9.","Kruithoff M","J Card Fail","2022","2022/06/12","","","10.1016/j.cardfail.2022.05.016"
"36740691","PrehospitaL Ultrasound in Undifferentiated DyspnEa (PreLUDE): a prospective, clinical, observational study","Gundersen EA, Juhl-Olsen P, Bach A, Rostgaard-Knudsen M, Nielsen BRR, Skaarup SH, Petersen HØ, Fjølner J, Poulsen MGG, Bøtker MT.","Scand J Trauma Resusc Emerg Med. 2023 Feb 5;31(1):6. doi: 10.1186/s13049-023-01070-4.","Gundersen EA","Scand J Trauma Resusc Emerg Med","2023","2023/02/05","PMC9899351","","10.1186/s13049-023-01070-4"
"36974751","SWAP70 Overexpression Protects Against Pathological Cardiac Hypertrophy in a TAK1-Dependent Manner","Qian Q, Hu F, Yu W, Leng D, Li Y, Shi H, Deng D, Ding K, Liang C, Liu J.","J Am Heart Assoc. 2023 Apr 4;12(7):e028628. doi: 10.1161/JAHA.122.028628. Epub 2023 Mar 28.","Qian Q","J Am Heart Assoc","2023","2023/03/28","PMC10122912","","10.1161/JAHA.122.028628"
"36598326","Successful support of biventricular heart failure in an adult patient by the Berlin Heart EXCOR system as a bridge to transplant: literature review","Hulman M, Artemiou P, Hudec V, Olejarova I, Goncalvesova E, Gasparovic I.","Bratisl Lek Listy. 2023;124(4):309-312. doi: 10.4149/BLL_2023_047.","Hulman M","Bratisl Lek Listy","2023","2023/01/04","","","10.4149/BLL_2023_047"
"36700422","Impact of baseline kidney function on the effects of sodium-glucose co-transporter-2 inhibitors on kidney and heart failure outcomes: A systematic review and meta-analysis of randomized controlled trials","Maddaloni E, Cavallari I, La Porta Y, Appetecchia A, D'Onofrio L, Grigioni F, Buzzetti R, Holman RR.","Diabetes Obes Metab. 2023 May;25(5):1341-1350. doi: 10.1111/dom.14986. Epub 2023 Feb 14.","Maddaloni E","Diabetes Obes Metab","2023","2023/01/26","","","10.1111/dom.14986"
"35994805","What kind of patient education and self-care support do patients with heart failure receive, and by whom? Implementation of the ESC guidelines for heart failure in three European regions","Baldewijns K, Boyne J, Rohde C, de Maesschalck L, Devillé A, Brandenburg V, De Bleser L, Derickx M, Bektas S, Brunner-La Rocca HP.","Heart Lung. 2023 Jan-Feb;57:25-30. doi: 10.1016/j.hrtlng.2022.07.013. Epub 2022 Aug 19.","Baldewijns K","Heart Lung","2023","2022/08/22","","","10.1016/j.hrtlng.2022.07.013"
"37343937","Heart transplantation in patients bridged with mechanical circulatory support: outcome comparison with matched controls","Bartfay SE, Bobbio E, Esmaily S, Bergh N, Holgersson J, Dellgren G, Bollano E, Karason K.","ESC Heart Fail. 2023 Aug;10(4):2621-2629. doi: 10.1002/ehf2.14439. Epub 2023 Jun 21.","Bartfay SE","ESC Heart Fail","2023","2023/06/21","PMC10375086","","10.1002/ehf2.14439"
"37349910","Prognostic significance of plasma chloride in elderly patients hospitalized for acute heart failure","Llàcer P, Croset F, Núñez J, Campos J, Fernández C, Fabregate M, Del Hoyo B, Ruiz R, López G, Tello S, Lorenzo A, Fernández JM, Manzano L.","ESC Heart Fail. 2023 Aug;10(4):2637-2647. doi: 10.1002/ehf2.14434. Epub 2023 Jun 22.","Llàcer P","ESC Heart Fail","2023","2023/06/23","PMC10375113","","10.1002/ehf2.14434"
"35695324","Utilizing longitudinal data in assessing all-cause mortality in patients hospitalized with heart failure","Herman R, Vanderheyden M, Vavrik B, Beles M, Palus T, Nelis O, Goethals M, Verstreken S, Dierckx R, Penicka M, Heggermont W, Bartunek J.","ESC Heart Fail. 2022 Oct;9(5):3575-3584. doi: 10.1002/ehf2.14011. Epub 2022 Jun 13.","Herman R","ESC Heart Fail","2022","2022/06/13","PMC9715844","","10.1002/ehf2.14011"
"35867804","Safety and efficacy of istaroxime in patients with acute heart failure-related pre-cardiogenic shock - a multicentre, randomized, double-blind, placebo-controlled, parallel group study (SEISMiC)","Metra M, Chioncel O, Cotter G, Davison B, Filippatos G, Mebazaa A, Novosadova M, Ponikowski P, Simmons P, Soffer J, Simonson S.","Eur J Heart Fail. 2022 Oct;24(10):1967-1977. doi: 10.1002/ejhf.2629. Epub 2022 Aug 22.","Metra M","Eur J Heart Fail","2022","2022/07/22","PMC9804717","","10.1002/ejhf.2629"
"37376752","Mortality rate after coronary revascularization in heart failure patients with coronary artery disease","Nader V, Matta A, Kang R, Deney A, Azar R, Rouzaud-Laborde C, Kunduzova O, Itier R, Fournier P, Galinier M, Carrié D, Roncalli J.","ESC Heart Fail. 2023 Aug;10(4):2656-2663. doi: 10.1002/ehf2.14445. Epub 2023 Jun 27.","Nader V","ESC Heart Fail","2023","2023/06/28","PMC10375079","","10.1002/ehf2.14445"
"33839990","The CORolla device for energy transfer from systole to diastole: a novel treatment for heart failure with preserved ejection fraction","Feld Y, Reisner Y, Meyer-Brodnitz G, Hoefler R.","Heart Fail Rev. 2023 Mar;28(2):307-314. doi: 10.1007/s10741-021-10104-x. Epub 2021 Apr 11.","Feld Y","Heart Fail Rev","2023","2021/04/11","","","10.1007/s10741-021-10104-x"
"36638582","Self-management in heart failure using mHealth: A content validation","Fernández-Gutiérrez M, Bas-Sarmiento P, Jesús Marín-Paz A, Castro-Yuste C, Sánchez-Sánchez E, Hernández-Encuentra E, Jesus Vinolo-Gil M, Carmona-Barrientos I, Poza-Méndez M.","Int J Med Inform. 2023 Mar;171:104986. doi: 10.1016/j.ijmedinf.2023.104986. Epub 2023 Jan 6.","Fernández-Gutiérrez M","Int J Med Inform","2023","2023/01/13","","","10.1016/j.ijmedinf.2023.104986"
"36699999","Identification of the potential biomarkers associated with circadian rhythms in heart failure","Sun Q, Zhao J, Liu L, Wang X, Gu X.","PeerJ. 2023 Jan 20;11:e14734. doi: 10.7717/peerj.14734. eCollection 2023.","Sun Q","PeerJ","2023","2023/01/26","PMC9869779","","10.7717/peerj.14734"
"36155847","Optical coherence tomography assessment of pulmonary vascular remodeling in advanced heart failure. The OCTOPUS-CHF study","Martínez-Solano J, Ortiz-Bautista C, Gutiérrez-Ibañes E, García-Cosío MD, Sarnago-Cebada F, Díaz-Molina B, Pascual I, Gómez-Bueno M, Calviño-Santos R, Gómez-Hospital JA, García-Lara J, de la Fuente-Galán L, Mirabet-Pérez S, Martínez-Sellés M.","Rev Esp Cardiol (Engl Ed). 2023 May;76(5):312-321. doi: 10.1016/j.rec.2022.09.005. Epub 2022 Sep 22.","Martínez-Solano J","Rev Esp Cardiol (Engl Ed)","2023","2022/09/26","","","10.1016/j.rec.2022.09.005"
"37062851","Cardiac and kidney benefits of empagliflozin in heart failure across the spectrum of kidney function: Insights from the EMPEROR-Preserved trial","Sharma A, Ferreira JP, Zannad F, Pocock SJ, Filippatos G, Pfarr E, Petrini M, Kraus BJ, Wanner C, Packer M, Butler J, Anker SD.","Eur J Heart Fail. 2023 Aug;25(8):1337-1348. doi: 10.1002/ejhf.2857. Epub 2023 May 4.","Sharma A","Eur J Heart Fail","2023","2023/04/16","","","10.1002/ejhf.2857"
"37169152","Hypotension at heart failure discharge: Should it be a limiting factor for drug titration?","Melendo-Viu M, Dobarro D, Marchán López Á, Domínguez LM, Raposeiras-Roubín S, Abu-Assi E, Cardero-González C, Pérez-Expósito L, Cespón Fernández M, Parada Barcia JA, Barreiro Pérez M, García E, Íñiguez Romo A.","Int J Cardiol. 2023 Sep 1;386:59-64. doi: 10.1016/j.ijcard.2023.05.007. Epub 2023 May 9.","Melendo-Viu M","Int J Cardiol","2023","2023/05/11","","","10.1016/j.ijcard.2023.05.007"
"36880390","Aortic Valve Calcium in Relation to Subclinical Cardiac Dysfunction and Risk of Heart Failure","Zhu F, Kaiser Y, Boersma E, Bos D, Kavousi M.","Circ Cardiovasc Imaging. 2023 Mar;16(3):e014323. doi: 10.1161/CIRCIMAGING.122.014323. Epub 2023 Mar 7.","Zhu F","Circ Cardiovasc Imaging","2023","2023/03/07","PMC10026958","","10.1161/CIRCIMAGING.122.014323"
"36050571","Ambient temperature and atmospheric pressure at discharge as precipitating factors in immediate adverse events in patients treated for decompensated heart failure","Benito-Lozano M, López-Ayala P, Rodríguez S, Gil V, Llorens P, Yufera A, Jacob J, Travería-Becker L, Strebel I, Lucas-Imbernon FJ, Tost J, López-Hernández Á, Rodríguez B, Fuentes M, Sánchez-Ramón S, Herrera-Mateo S, Aguirre A, Alonso MI, Pavón J, López-Grima ML, Espinosa B, Mueller C, Burillo-Putze G, Miró Ò; ICA-SEMES Group.","Intern Emerg Med. 2022 Oct;17(7):2045-2056. doi: 10.1007/s11739-022-03078-7. Epub 2022 Sep 1.","Benito-Lozano M","Intern Emerg Med","2022","2022/09/01","","","10.1007/s11739-022-03078-7"
"36765334","Effect of multidisciplinary team (MDT) centred on pregnant women with pulmonary hypertension on treatment and outcomes of pregnancy","Chen W, Luo J, Chen J, Chen Y, Li Z, Qiu H, Li J.","BMC Pulm Med. 2023 Feb 11;23(1):62. doi: 10.1186/s12890-023-02355-1.","Chen W","BMC Pulm Med","2023","2023/02/11","PMC9921663","","10.1186/s12890-023-02355-1"
"37158867","Patient-level predictors of temporal regularity of primary care visits","Rose AJ, Ahmad WA, Spolter F, Khazen M, Golan-Cohen A, Vinker S, Green I, Israel A, Merzon E.","BMC Health Serv Res. 2023 May 8;23(1):456. doi: 10.1186/s12913-023-09486-5.","Rose AJ","BMC Health Serv Res","2023","2023/05/09","PMC10169340","","10.1186/s12913-023-09486-5"
"37264723","Renal tubular damage and clinical outcome in heart failure with preserved ejection fraction and chronic kidney disease","Otaki Y, Watanabe T, Shimizu M, Tachibana S, Sato J, Kobayashi Y, Saito Y, Aono T, Tamura H, Kato S, Nishiyama S, Takahashi H, Arimoto T, Watanabe M.","ESC Heart Fail. 2023 Aug;10(4):2458-2468. doi: 10.1002/ehf2.14378. Epub 2023 Jun 1.","Otaki Y","ESC Heart Fail","2023","2023/06/02","PMC10375165","","10.1002/ehf2.14378"
"35902033","Guideline-Directed Medical Therapy in Newly Diagnosed Heart Failure With Reduced Ejection Fraction in the Community","Dunlay SM, Killian JM, Roger VL, Schulte PJ, Blecker SB, Savitz ST, Redfield MM.","J Card Fail. 2022 Oct;28(10):1500-1508. doi: 10.1016/j.cardfail.2022.07.047. Epub 2022 Jul 25.","Dunlay SM","J Card Fail","2022","2022/07/28","PMC9588715","NIHMS1825864","10.1016/j.cardfail.2022.07.047"
"37382961","Ferric Carboxymaltose in Iron-Deficient Patients with Hospitalized Heart Failure and Reduced Kidney Function","Macdougall IC, Ponikowski P, Stack AG, Wheeler DC, Anker SD, Butler J, Filippatos G, Göhring UM, Kirwan BA, Kumpeson V, Metra M, Rosano G, Ruschitzka F, van der Meer P, Wächter S, Jankowska EA.","Clin J Am Soc Nephrol. 2023 Sep 1;18(9):1124-1134. doi: 10.2215/CJN.0000000000000223. Epub 2023 Jun 29.","Macdougall IC","Clin J Am Soc Nephrol","2023","2023/06/29","","","10.2215/CJN.0000000000000223"
"36084398","Comparison of catheter ablation and medical therapy for atrial fibrillation in heart failure patients: A meta-analysis of randomized controlled trials","Şaylık F, Çınar T, Akbulut T, Hayıroğlu Mİ.","Heart Lung. 2023 Jan-Feb;57:69-74. doi: 10.1016/j.hrtlng.2022.08.012. Epub 2022 Sep 7.","Şaylık F","Heart Lung","2023","2022/09/09","","","10.1016/j.hrtlng.2022.08.012"
"36178264","Sclareol attenuates angiotensin II-induced cardiac remodeling and inflammation via inhibiting MAPK signaling","Yang N, Zou C, Luo W, Xu D, Wang M, Wang Y, Wu G, Shan P, Liang G.","Phytother Res. 2023 Feb;37(2):578-591. doi: 10.1002/ptr.7635. Epub 2022 Sep 30.","Yang N","Phytother Res","2023","2022/09/30","","","10.1002/ptr.7635"
"36990857","β(2)ARs: double edge sword in heart function","Beasley HK, Wanjalla CN, Kirabo A, Hinton A Jr.","Trends Mol Med. 2023 Jun;29(6):422-424. doi: 10.1016/j.molmed.2023.03.003. Epub 2023 Mar 27.","Beasley HK","Trends Mol Med","2023","2023/03/29","PMC10499308","NIHMS1927733","10.1016/j.molmed.2023.03.003"
"36258045","Remote dielectric sensing and lung ultrasound to assess pulmonary congestion","Izumida T, Imamura T, Kinugawa K.","Heart Vessels. 2023 Apr;38(4):517-522. doi: 10.1007/s00380-022-02190-0. Epub 2022 Oct 18.","Izumida T","Heart Vessels","2023","2022/10/18","","","10.1007/s00380-022-02190-0"
"37244855","Usefulness of short-term peripheral ambulatory ultrafiltration in heart failure refractory to diuretics. Initial experience","Guerrero Cervera B, López-Vilella R, Sánchez Lázaro I, Carbonell Vayá R, Donoso Trenado V, Almenar Bonet L.","Med Clin (Barc). 2023 Aug 25;161(4):154-157. doi: 10.1016/j.medcli.2023.04.008. Epub 2023 May 25.","Guerrero Cervera B","Med Clin (Barc)","2023","2023/05/27","","","10.1016/j.medcli.2023.04.008"
